丁	一 亅
七	一 乚	丿 乚
万	一 勹	一 刀
丈	一 乂
三	一 二	一 一 一
上	一 丨 一	丶 丨 一
下	一 卜	一 丨 丶
不	一 丿 丨 丶
丐	下 勹	正 丿
丑	㇆ 一 丨 一
且	月 一
丕	不 一
世	廿 丨 一
丘	厂 工	厂 丅 一
丙	一 人 冂
丞	氶 一
丢	丿 去
并	丷 开
丫	丶 丶 丨
中	口 丨
丰	丿 二 丨	三 丨
串	口 口 丨	中 口
丸	丶 九
丹	冂 丶 一
主	丶 王
乃	丿 ㇆ ㇆
久	丿 入
幺	𠃊 厶
乍	丿 丅 二
乎	丿 丷 一 亅
乏	丿 之
乒	丘 丿
乓	丘 丶
乖	千 北
乘	禾 北
乜	卩 乚
九	丿 乙
乞	丿 一 乙
也	卩 丨 乚
乩	占 乙
乳	孚 乙
干	一 十
乱	舌 乙	舌 乚
了	乛 亅
予	龴 乛 亅
事	一 口 聿	一 口 肀
二	一 一
亍	一 丁
于	二 亅
云	二 厶
互	一 彑
亓	一 丌
五	二 丨 ㇆
井	二 丿 丨
亘	一 旦	二 日
些	此 二
亚	一 业
亟	丂 口 又 一
亡	丶 匸
亢	亠 几
交	亠 父
亦	亠 丿 亅 八
亨	亠 口 了
享	亠 口 子
京	亠 口 小
亭	亠 口 冖 丁
亮	亠 口 冖 儿
亳	亠 口 冂 乇
亶	亠 回 旦
人	丿 乀
什	人 十	亻 十
仁	人 二	亻 二
仂	人 力	亻 力
仃	人 丁	亻 丁
仄	厂 人
仆	人 卜	亻 卜
仇	人 九	亻 九
仉	人 几	亻 几
今	人 丶 乛
介	人 丿 丨
仍	人 乃	亻 乃
仔	人 子	亻 子
仕	人 士	亻 士
他	人 也	亻 也
仗	人 丈	亻 丈
付	人 寸	亻 寸
仙	人 山	亻 山
同	冂 一 口
仞	人 刃	亻 刃
仟	人 千	亻 千
仡	人 乞	亻 乞
代	人 弋	亻 弋
令	人 一 卩
仨	人 三	亻 三
仫	人 么	亻 么
仰	人 卬	亻 卬
仲	人 中	亻 中
仳	人 比	亻 比
仵	人 午	亻 午
件	人 牛	亻 牛
任	人 壬	亻 壬
份	人 分	亻 分
仿	人 方	亻 方
企	人 止
伉	人 亢	亻 亢
伊	人 尹	亻 尹
伋	人 及	亻 及
伍	人 五	亻 五
伎	人 支	亻 支
伏	人 犬	亻 犬
伐	人 戈	亻 戈
休	人 木	亻 木
伙	人 火	亻 火
伢	人 牙	亻 牙
伯	人 白	亻 白
估	人 古	亻 古
伴	人 半
伶	人 令	亻 令
